FileType	fastq	Read submission file type								
DMD_B_PF1_210504_MN	PRJEB115259	MinION	DMD_B_PF1_MN_BC08_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PF1_210504_MN.fastq.gz	0c9d5aa8d363c98db578473581ce382b	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_B_PF1_210504_HMW	PRJEB115259	MinION	DMD_B_PF1_Zymo_HMW_BC04_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PF1_210504_HMW.fastq.gz	90f0869bcc4d55d36a6fd888204fe867	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_B_PM2_210505_MN	PRJEB115259	MinION	DMD_B_PM2_MN_BC07_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PM2_210505_MN.fastq.gz	5963384186ffc823538cf9d01bf8bf65	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_B_PM2_210505_HMW	PRJEB115259	MinION	DMD_B_PM2_Zymo_HMW_BC03_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_B_PM2_210505_HMW.fastq.gz	2355242f861cac982d096d42f9b19d03	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_0_AM1_210513_MN	PRJEB115259	MinION	DMD_0_AM1_MN_BC05_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AM1_210513_MN.fastq.gz	83beab89e6609da2c88b76e611afdffd	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_0_AM1_210513_HMW	PRJEB115259	MinION	DMD_0_AM1_Zymo_HMW_BC01_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AM1_210513_HMW.fastq.gz	24a52db438f92f52c6afdb7fa286f5c9	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_0_AF1_210508_MN	PRJEB115259	MinION	DMD_0_AF1_MN_BC06_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AF1_210508_MN.fastq.gz	42445547c1719fbb9ee89001feece462	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
DMD_0_AF1_210508_HMW	PRJEB115259	MinION	DMD_0_AF1_Zymo_HMW_BC02_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	DMD_0_AF1_210508_HMW.fastq.gz	3bbcdd82c96d26f7f6f2a72b7da400cb	Canine fecal metagenomic DNA was extracted using the method identified in the library name (MN or Zymo HMW), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AF5_210413_HMW	PRJEB115259	MinION	SRTP_LR_DOG01_HMW_BC01_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AF5_210413_HMW.fastq.gz	cdb4d5002671cf19738852f1238efed6	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AM1_210415_HMW	PRJEB115259	MinION	SRTP_LR_DOG02_HMW_BC02_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AM1_210415_HMW.fastq.gz	8cdf564d627c455f27990f24cc008f9a	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AF1_210415_HMW	PRJEB115259	MinION	SRTP_LR_DOG03_HMW_BC03_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AF1_210415_HMW.fastq.gz	58bad1b0910c309ca8fb439234e6fe4e	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AF5_210413_MagBead	PRJEB115259	MinION	SRTP_LR_DOG01_ZMB96_BC04_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AF5_210413_MagBead.fastq.gz	3faddf73d6b18084cf3e3e4f002cf53b	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AM1_210415_MagBead	PRJEB115259	MinION	SRTP_LR_DOG02_ZMB96_BC05_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AM1_210415_MagBead.fastq.gz	f8f93d908dae9d8b3cb112c9628c8da5	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
STPT_0_AF1_210415_MagBead	PRJEB115259	MinION	SRTP_LR_DOG03_ZMB96_BC06_ONT_WGS	METAGENOMIC	RANDOM	WGS	SINGLE	STPT_0_AF1_210415_MagBead.fastq.gz	4e6ccce9557544a65fefb49b3f280ac8	Canine fecal metagenomic DNA was extracted using the method identified in the library name (HMW or ZymoBIOMICS 96 MagBead), prepared as a native-barcoded Oxford Nanopore ligation library, and sequenced on MinION.
